"No.","Time","Source","Destination","Protocol","Length","Leftover Capture Data","Info"
"173","18.024270","1.8.1","host","USB","35","0000080400000000","URB_INTERRUPT in"
"174","18.064276","1.8.1","host","USB","35","0000040000000000","URB_INTERRUPT in"
"176","18.192291","1.8.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"178","18.464285","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"180","18.552283","1.8.1","host","USB","35","00001a0000000000","URB_INTERRUPT in"
"182","18.728386","1.8.1","host","USB","35","0000120000000000","URB_INTERRUPT in"
"184","18.936244","1.8.1","host","USB","35","0000110000000000","URB_INTERRUPT in"
"186","19.072301","1.8.1","host","USB","35","0000070000000000","URB_INTERRUPT in"
"187","19.128278","1.8.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"189","19.224383","1.8.1","host","USB","35","0000150000000000","URB_INTERRUPT in"
"191","19.328318","1.8.1","host","USB","35","0000370000000000","URB_INTERRUPT in"
"193","19.976280","1.8.1","host","USB","35","0000280000000000","URB_INTERRUPT in"
"195","20.160246","1.8.1","host","USB","35","0000280000000000","URB_INTERRUPT in"
"197","20.408389","1.8.1","host","USB","35","0000390000000000","URB_INTERRUPT in"
"202","20.584363","1.8.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"203","20.664249","1.8.1","host","USB","35","0000173900000000","URB_INTERRUPT in"
"207","20.688277","1.8.1","host","USB","35","0000390000000000","URB_INTERRUPT in"
"209","20.784380","1.8.1","host","USB","35","00000b0000000000","URB_INTERRUPT in"
"211","20.912408","1.8.1","host","USB","35","0000040000000000","URB_INTERRUPT in"
"212","20.960274","1.8.1","host","USB","35","0000041700000000","URB_INTERRUPT in"
"213","20.976283","1.8.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"214","21.040293","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"216","21.200280","1.8.1","host","USB","35","00000c0000000000","URB_INTERRUPT in"
"218","21.304315","1.8.1","host","USB","35","0000160000000000","URB_INTERRUPT in"
"220","21.456277","1.8.1","host","USB","35","0000360000000000","URB_INTERRUPT in"
"222","21.664304","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"224","21.880398","1.8.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"226","21.984306","1.8.1","host","USB","35","00000b0000000000","URB_INTERRUPT in"
"228","22.120302","1.8.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"230","22.336279","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"232","22.744304","1.8.1","host","USB","35","0000390000000000","URB_INTERRUPT in"
"237","22.912377","1.8.1","host","USB","35","00000c0000000000","URB_INTERRUPT in"
"239","23.016309","1.8.1","host","USB","35","0000390000000000","URB_INTERRUPT in"
"244","23.240262","1.8.1","host","USB","35","0000110000000000","URB_INTERRUPT in"
"246","23.384388","1.8.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"247","23.440288","1.8.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"248","23.552294","1.8.1","host","USB","35","0000150000000000","URB_INTERRUPT in"
"250","23.640380","1.8.1","host","USB","35","0000110000000000","URB_INTERRUPT in"
"252","23.736276","1.8.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"253","23.776280","1.8.1","host","USB","35","0000081700000000","URB_INTERRUPT in"
"254","23.792362","1.8.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"256","23.960393","1.8.1","host","USB","35","0000370000000000","URB_INTERRUPT in"
"258","24.640248","1.8.1","host","USB","35","0000280000000000","URB_INTERRUPT in"
"260","24.864250","1.8.1","host","USB","35","0000280000000000","URB_INTERRUPT in"
"262","25.096251","1.8.1","host","USB","35","0000390000000000","URB_INTERRUPT in"
"267","25.328292","1.8.1","host","USB","35","00000c0000000000","URB_INTERRUPT in"
"269","25.448277","1.8.1","host","USB","35","0000390000000000","URB_INTERRUPT in"
"274","25.648250","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"276","25.728321","1.8.1","host","USB","35","00001a0000000000","URB_INTERRUPT in"
"278","25.888280","1.8.1","host","USB","35","00000c0000000000","URB_INTERRUPT in"
"280","26.088308","1.8.1","host","USB","35","00000f0000000000","URB_INTERRUPT in"
"282","26.216250","1.8.1","host","USB","35","00000f0000000000","URB_INTERRUPT in"
"284","26.368281","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"285","26.448291","1.8.1","host","USB","35","0000160000000000","URB_INTERRUPT in"
"287","26.616314","1.8.1","host","USB","35","00000b0000000000","URB_INTERRUPT in"
"289","26.832299","1.8.1","host","USB","35","0000120000000000","URB_INTERRUPT in"
"291","26.896387","1.8.1","host","USB","35","00001a0000000000","URB_INTERRUPT in"
"293","27.016296","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"295","27.176299","1.8.1","host","USB","35","00001c0000000000","URB_INTERRUPT in"
"296","27.256314","1.8.1","host","USB","35","0000120000000000","URB_INTERRUPT in"
"298","27.440282","1.8.1","host","USB","35","0000180000000000","URB_INTERRUPT in"
"300","27.544269","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"302","28.128300","1.8.1","host","USB","35","0000090000000000","URB_INTERRUPT in"
"304","28.264314","1.8.1","host","USB","35","00000c0000000000","URB_INTERRUPT in"
"306","28.376367","1.8.1","host","USB","35","0000190000000000","URB_INTERRUPT in"
"307","28.472386","1.8.1","host","USB","35","0000190800000000","URB_INTERRUPT in"
"308","28.496282","1.8.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"310","28.600269","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"312","28.832316","1.8.1","host","USB","35","0000070000000000","URB_INTERRUPT in"
"313","28.912285","1.8.1","host","USB","35","0000040000000000","URB_INTERRUPT in"
"315","29.088411","1.8.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"317","29.192386","1.8.1","host","USB","35","0000100000000000","URB_INTERRUPT in"
"319","29.400341","1.8.1","host","USB","35","0000120000000000","URB_INTERRUPT in"
"321","29.600280","1.8.1","host","USB","35","0000110000000000","URB_INTERRUPT in"
"323","29.664362","1.8.1","host","USB","35","0000160000000000","URB_INTERRUPT in"
"325","29.912296","1.8.1","host","USB","35","0000360000000000","URB_INTERRUPT in"
"327","30.144308","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"329","30.344299","1.8.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"330","30.416322","1.8.1","host","USB","35","0000080400000000","URB_INTERRUPT in"
"331","30.440249","1.8.1","host","USB","35","0000040000000000","URB_INTERRUPT in"
"333","30.536319","1.8.1","host","USB","35","0000060000000000","URB_INTERRUPT in"
"335","30.696431","1.8.1","host","USB","35","00000b0000000000","URB_INTERRUPT in"
"337","30.896364","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"339","31.080289","1.8.1","host","USB","35","00001a0000000000","URB_INTERRUPT in"
"341","31.192311","1.8.1","host","USB","35","00000c0000000000","URB_INTERRUPT in"
"343","31.432308","1.8.1","host","USB","35","00000f0000000000","URB_INTERRUPT in"
"345","31.584367","1.8.1","host","USB","35","00000f0000000000","URB_INTERRUPT in"
"347","31.736249","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"349","31.848314","1.8.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"350","31.904283","1.8.1","host","USB","35","0000170400000000","URB_INTERRUPT in"
"351","31.936256","1.8.1","host","USB","35","0000040000000000","URB_INTERRUPT in"
"353","32.072369","1.8.1","host","USB","35","00000e0000000000","URB_INTERRUPT in"
"354","32.152302","1.8.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"356","32.248281","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"358","32.384288","1.8.1","host","USB","35","00001c0000000000","URB_INTERRUPT in"
"360","32.488253","1.8.1","host","USB","35","0000120000000000","URB_INTERRUPT in"
"362","32.696263","1.8.1","host","USB","35","0000180000000000","URB_INTERRUPT in"
"364","32.976413","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"366","33.528371","1.8.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"368","33.632363","1.8.1","host","USB","35","0000120000000000","URB_INTERRUPT in"
"370","33.744291","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"372","33.880283","1.8.1","host","USB","35","0000040000000000","URB_INTERRUPT in"
"373","33.960253","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"375","34.648286","1.8.1","host","USB","35","0000070000000000","URB_INTERRUPT in"
"377","34.920289","1.8.1","host","USB","35","00000c0000000000","URB_INTERRUPT in"
"379","35.016400","1.8.1","host","USB","35","0000090000000000","URB_INTERRUPT in"
"381","35.152273","1.8.1","host","USB","35","0000090000000000","URB_INTERRUPT in"
"383","35.416310","1.8.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"385","35.536304","1.8.1","host","USB","35","0000150000000000","URB_INTERRUPT in"
"386","35.648398","1.8.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"388","35.776301","1.8.1","host","USB","35","0000110000000000","URB_INTERRUPT in"
"390","35.896301","1.8.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"391","35.968308","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"393","36.344369","1.8.1","host","USB","35","0000130000000000","URB_INTERRUPT in"
"395","36.560278","1.8.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"397","36.712373","1.8.1","host","USB","35","0000150000000000","URB_INTERRUPT in"
"399","36.952287","1.8.1","host","USB","35","00000c0000000000","URB_INTERRUPT in"
"401","37.112300","1.8.1","host","USB","35","0000120000000000","URB_INTERRUPT in"
"403","37.184297","1.8.1","host","USB","35","0000070000000000","URB_INTERRUPT in"
"404","37.272280","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"406","37.384395","1.8.1","host","USB","35","0000120000000000","URB_INTERRUPT in"
"408","37.480301","1.8.1","host","USB","35","0000090000000000","URB_INTERRUPT in"
"410","37.576388","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"412","37.656291","1.8.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"413","37.752280","1.8.1","host","USB","35","00000c0000000000","URB_INTERRUPT in"
"415","37.928371","1.8.1","host","USB","35","0000100000000000","URB_INTERRUPT in"
"416","37.992280","1.8.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"418","38.144363","1.8.1","host","USB","35","0000370000000000","URB_INTERRUPT in"
"420","38.768284","1.8.1","host","USB","35","0000280000000000","URB_INTERRUPT in"
"422","39.008388","1.8.1","host","USB","35","0000280000000000","URB_INTERRUPT in"
"424","39.544254","1.8.1","host","USB","35","0000390000000000","URB_INTERRUPT in"
"429","39.776288","1.8.1","host","USB","35","0000110000000000","URB_INTERRUPT in"
"430","39.864410","1.8.1","host","USB","35","0000390000000000","URB_INTERRUPT in"
"435","40.032284","1.8.1","host","USB","35","0000120000000000","URB_INTERRUPT in"
"436","40.096295","1.8.1","host","USB","35","00001a0000000000","URB_INTERRUPT in"
"438","40.264289","1.8.1","host","USB","35","0000360000000000","URB_INTERRUPT in"
"440","40.464288","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"442","40.592278","1.8.1","host","USB","35","00001c0000000000","URB_INTERRUPT in"
"444","40.720307","1.8.1","host","USB","35","0000120000000000","URB_INTERRUPT in"
"446","40.920290","1.8.1","host","USB","35","0000180000000000","URB_INTERRUPT in"
"447","40.992305","1.8.1","host","USB","35","0000150000000000","URB_INTERRUPT in"
"448","41.096286","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"450","41.216322","1.8.1","host","USB","35","0000090000000000","URB_INTERRUPT in"
"452","41.344284","1.8.1","host","USB","35","00000c0000000000","URB_INTERRUPT in"
"454","41.448278","1.8.1","host","USB","35","0000150000000000","URB_INTERRUPT in"
"455","41.536305","1.8.1","host","USB","35","0000160000000000","URB_INTERRUPT in"
"457","41.640335","1.8.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"458","41.736267","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"460","41.944275","1.8.1","host","USB","35","0000070000000000","URB_INTERRUPT in"
"461","42.048306","1.8.1","host","USB","35","0000040000000000","URB_INTERRUPT in"
"463","42.184323","1.8.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"465","42.312301","1.8.1","host","USB","35","0000100000000000","URB_INTERRUPT in"
"467","42.504254","1.8.1","host","USB","35","0000120000000000","URB_INTERRUPT in"
"469","42.696258","1.8.1","host","USB","35","0000110000000000","URB_INTERRUPT in"
"471","42.816372","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"473","43.096373","1.8.1","host","USB","35","00000c0000000000","URB_INTERRUPT in"
"474","43.160374","1.8.1","host","USB","35","0000160000000000","URB_INTERRUPT in"
"476","43.264364","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"478","43.352303","1.8.1","host","USB","35","0000390000000000","URB_INTERRUPT in"
"483","43.448284","1.8.1","host","USB","35","0000070000000000","URB_INTERRUPT in"
"484","43.504322","1.8.1","host","USB","35","0000073900000000","URB_INTERRUPT in"
"488","43.520312","1.8.1","host","USB","35","0000390000000000","URB_INTERRUPT in"
"490","43.696281","1.8.1","host","USB","35","0000040000000000","URB_INTERRUPT in"
"492","43.896361","1.8.1","host","USB","35","0000100000000000","URB_INTERRUPT in"
"494","47.040288","1.8.1","host","USB","35","00002a0000000000","URB_INTERRUPT in"
"496","47.256293","1.8.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"498","47.440260","1.8.1","host","USB","35","0000100000000000","URB_INTERRUPT in"
"500","47.672293","1.8.1","host","USB","35","0000120000000000","URB_INTERRUPT in"
"501","47.744328","1.8.1","host","USB","35","0000110000000000","URB_INTERRUPT in"
"503","47.888376","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"505","48.056269","1.8.1","host","USB","35","0000390000000000","URB_INTERRUPT in"
"510","48.176265","1.8.1","host","USB","35","00000c0000000000","URB_INTERRUPT in"
"512","48.264312","1.8.1","host","USB","35","0000390000000000","URB_INTERRUPT in"
"517","48.744418","1.8.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"518","48.864368","1.8.1","host","USB","35","0200380000000000","URB_INTERRUPT in"
"519","48.944402","1.8.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"521","49.464306","1.8.1","host","USB","35","00002a0000000000","URB_INTERRUPT in"
"523","50.616309","1.8.1","host","USB","35","0000360000000000","URB_INTERRUPT in"
"525","51.144308","1.8.1","host","USB","35","0000280000000000","URB_INTERRUPT in"
"527","51.424383","1.8.1","host","USB","35","0000280000000000","URB_INTERRUPT in"
"529","51.752328","1.8.1","host","USB","35","0000390000000000","URB_INTERRUPT in"
"534","52.000325","1.8.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"535","52.064319","1.8.1","host","USB","35","0000173900000000","URB_INTERRUPT in"
"539","52.088310","1.8.1","host","USB","35","0000390000000000","URB_INTERRUPT in"
"541","52.232400","1.8.1","host","USB","35","0000120000000000","URB_INTERRUPT in"
"543","52.408364","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"545","52.568410","1.8.1","host","USB","35","00000a0000000000","URB_INTERRUPT in"
"546","52.656327","1.8.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"548","52.800333","1.8.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"550","52.904297","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"552","53.016319","1.8.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"554","53.184295","1.8.1","host","USB","35","00000b0000000000","URB_INTERRUPT in"
"555","53.248291","1.8.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"556","53.336291","1.8.1","host","USB","35","0000150000000000","URB_INTERRUPT in"
"557","53.400330","1.8.1","host","USB","35","0000150800000000","URB_INTERRUPT in"
"558","53.440296","1.8.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"560","53.616294","1.8.1","host","USB","35","0000360000000000","URB_INTERRUPT in"
"562","53.792427","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"564","53.904259","1.8.1","host","USB","35","00001c0000000000","URB_INTERRUPT in"
"566","53.992288","1.8.1","host","USB","35","0000120000000000","URB_INTERRUPT in"
"568","54.216310","1.8.1","host","USB","35","0000180000000000","URB_INTERRUPT in"
"570","54.312361","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"571","54.376325","1.8.1","host","USB","35","00001a0000000000","URB_INTERRUPT in"
"573","54.520318","1.8.1","host","USB","35","00000c0000000000","URB_INTERRUPT in"
"575","54.736290","1.8.1","host","USB","35","00000f0000000000","URB_INTERRUPT in"
"577","54.880334","1.8.1","host","USB","35","00000f0000000000","URB_INTERRUPT in"
"579","55.504259","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"581","57.096344","1.8.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"583","57.256381","1.8.1","host","USB","35","0000150000000000","URB_INTERRUPT in"
"585","57.488291","1.8.1","host","USB","35","00001c0000000000","URB_INTERRUPT in"
"587","57.704415","1.8.1","host","USB","35","00002a0000000000","URB_INTERRUPT in"
"589","57.928334","1.8.1","host","USB","35","00002a0000000000","URB_INTERRUPT in"
"591","58.176366","1.8.1","host","USB","35","00002a0000000000","URB_INTERRUPT in"
"593","58.408261","1.8.1","host","USB","35","0000040000000000","URB_INTERRUPT in"
"594","58.504293","1.8.1","host","USB","35","0000060000000000","URB_INTERRUPT in"
"596","58.664296","1.8.1","host","USB","35","0000060000000000","URB_INTERRUPT in"
"598","58.776285","1.8.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"600","58.984298","1.8.1","host","USB","35","0000160000000000","URB_INTERRUPT in"
"602","59.128391","1.8.1","host","USB","35","0000160000000000","URB_INTERRUPT in"
"603","59.208401","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"605","60.000289","1.8.1","host","USB","35","0000040000000000","URB_INTERRUPT in"
"606","60.072309","1.8.1","host","USB","35","0000042c00000000","URB_INTERRUPT in"
"607","60.096292","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"609","60.352366","1.8.1","host","USB","35","0000100000000000","URB_INTERRUPT in"
"611","60.536294","1.8.1","host","USB","35","0000120000000000","URB_INTERRUPT in"
"613","60.776265","1.8.1","host","USB","35","0000110000000000","URB_INTERRUPT in"
"615","61.512307","1.8.1","host","USB","35","00002a0000000000","URB_INTERRUPT in"
"617","61.680401","1.8.1","host","USB","35","0000070000000000","URB_INTERRUPT in"
"619","61.768307","1.8.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"620","61.856296","1.8.1","host","USB","35","0000150000000000","URB_INTERRUPT in"
"622","61.976322","1.8.1","host","USB","35","0000110000000000","URB_INTERRUPT in"
"624","62.080343","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"626","62.288315","1.8.1","host","USB","35","00001a0000000000","URB_INTERRUPT in"
"628","62.456380","1.8.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"630","62.608295","1.8.1","host","USB","35","0000050000000000","URB_INTERRUPT in"
"632","62.760313","1.8.1","host","USB","35","0000160000000000","URB_INTERRUPT in"
"634","62.904290","1.8.1","host","USB","35","00000c0000000000","URB_INTERRUPT in"
"636","63.016296","1.8.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"637","63.088289","1.8.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"639","63.192399","1.8.1","host","USB","35","0000370000000000","URB_INTERRUPT in"
"641","63.544262","1.8.1","host","USB","35","0000370000000000","URB_INTERRUPT in"
"643","63.760318","1.8.1","host","USB","35","0000370000000000","URB_INTERRUPT in"
"645","64.168314","1.8.1","host","USB","35","00002a0000000000","URB_INTERRUPT in"
"647","64.320378","1.8.1","host","USB","35","00002a0000000000","URB_INTERRUPT in"
"649","64.472382","1.8.1","host","USB","35","00002a0000000000","URB_INTERRUPT in"
"651","65.008306","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"653","65.176291","1.8.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"655","65.328297","1.8.1","host","USB","35","00000b0000000000","URB_INTERRUPT in"
"656","65.400311","1.8.1","host","USB","35","0000040000000000","URB_INTERRUPT in"
"657","65.448266","1.8.1","host","USB","35","0000041700000000","URB_INTERRUPT in"
"658","65.488369","1.8.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"659","65.528328","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"661","65.648335","1.8.1","host","USB","35","00000c0000000000","URB_INTERRUPT in"
"663","65.784362","1.8.1","host","USB","35","0000160000000000","URB_INTERRUPT in"
"664","65.872318","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"666","66.120297","1.8.1","host","USB","35","0000150000000000","URB_INTERRUPT in"
"667","66.168262","1.8.1","host","USB","35","0000150800000000","URB_INTERRUPT in"
"668","66.224323","1.8.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"670","66.368292","1.8.1","host","USB","35","0000070000000000","URB_INTERRUPT in"
"672","66.512395","1.8.1","host","USB","35","0000070000000000","URB_INTERRUPT in"
"674","66.656302","1.8.1","host","USB","35","00000c0000000000","URB_INTERRUPT in"
"675","66.728382","1.8.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"676","66.808302","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"678","67.160397","1.8.1","host","USB","35","00002a0000000000","URB_INTERRUPT in"
"680","67.464305","1.8.1","host","USB","35","0000370000000000","URB_INTERRUPT in"
"682","67.600296","1.8.1","host","USB","35","0000060000000000","URB_INTERRUPT in"
"683","67.704274","1.8.1","host","USB","35","0000120000000000","URB_INTERRUPT in"
"685","67.872316","1.8.1","host","USB","35","0000100000000000","URB_INTERRUPT in"
